product_id,product_name,price,vendor,product_type,tags,availability,number_of_variants,image_url,product_url
1072044791,Combo 2 Vớ Biti's Nam Màu Xám ASMG00270XAM,65000,Biti's,Vớ,"kho:online,Vo,NAM,NỮ,Phụ kiện nam,Phụ kiện nữ,Phụ kiện",Available,1,https://cdn.hstatic.net/products/1000230642/asmg00270xam__6__83c67adda9f949918dd42801bd49726e.jpg,https://bitis.com.vn/products/combo-2-vo-biti-s-nam-mau-xam-asmg00270xam
1072044766,Combo 2 Vớ Biti's Nam Màu Trắng ASMG00270TRG,65000,Biti's,Vớ,"kho:online,Vo,NAM,NỮ,Phụ kiện nam,Phụ kiện nữ,Phụ kiện",Available,1,https://cdn.hstatic.net/products/1000230642/asmg00270trg__1__065939ceb57a4ae3b54408b22148d66b.jpg,https://bitis.com.vn/products/combo-2-vo-biti-s-nam-mau-trang-asmg00270trg
1071926998,Sandal Biti's Bé Trai Màu Xanh Dương BTB001400XDD,285000,Biti's,Sandal Thông Dụng,"kho:online,BÉ TRAI,TRẺ EM,Giày dép,Sandal,Sandal trẻ em,Giày dép trẻ em",Available,4,https://cdn.hstatic.net/products/1000230642/btb001400xdd__4__da031118ecbd4caa81fc4b64bb651975.jpg,https://bitis.com.vn/products/sandal-biti-s-be-trai-mau-xanh-duong-btb001400xdd
1071926908,Sandal Biti's Bé Trai Màu Xám BTB001400XAM,285000,Biti's,Sandal Thông Dụng,"kho:online,BÉ TRAI,TRẺ EM,Giày dép,Sandal,Sandal trẻ em,Giày dép trẻ em",Available,4,https://cdn.hstatic.net/products/1000230642/btb001400xam__3__b2bf4b3bad494c6fbc1f3e12346c210d.jpg,https://bitis.com.vn/products/sandal-biti-s-be-trai-mau-xam-btb001400xam
1071926899,Sandal Biti's Bé Trai Màu Đen BTB001400DEN,285000,Biti's,Sandal Thông Dụng,"kho:online,TRẺ EM,BÉ TRAI,Giày dép,Sandal,Sandal trẻ em,Giày dép trẻ em",Available,4,https://cdn.hstatic.net/products/1000230642/btb001400den__4__f4fbf5ad88bb47dea64c199e1952cad3.jpg,https://bitis.com.vn/products/sandal-biti-s-be-trai-mau-den-btb001400den
1071926862,Giày Tập Đi Biti's Bé Trai Màu Xanh Nhớt BSB000900XNH,240000,Biti's,Giày Tập Đi,"kho:online,Firstshoes,Giày dép,khongdoitra,Giày trẻ em,TRẺ EM,BÉ TRAI,BÉ GÁI",Available,3,https://cdn.hstatic.net/products/1000230642/bsb000900xnh__7__88dd7e0cf49441c3aa499fc24e1907ea.jpg,https://bitis.com.vn/products/giay-tap-di-biti-s-be-trai-mau-xanh-nhot-bsb000900xnh
1071926796,Giày Tập Đi Biti's Trẻ Em Màu Xanh Dương Lợt BSB000900XDL,240000,Biti's,Giày Tập Đi,"kho:online,Firstshoes,Giày dép,khongdoitra,Giày trẻ em,TRẺ EM,BÉ TRAI,BÉ GÁI",Available,3,https://cdn.hstatic.net/products/1000230642/bsb000900xdl__7__6cf051add3bd4ef3bf4299b5a2b36428.jpg,https://bitis.com.vn/products/giay-tap-di-biti-s-tre-em-mau-xanh-duong-lot-bsb000900xdl
1071926783,Sandal Biti's Bé Gái Màu Tím BEG006800TIM,345000,Biti's,Sandal Thông Dụng,"kho:online,TRẺ EM,Giày dép,Sandal,BÉ GÁI,Sandal trẻ em,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/beg006800tim__5__6cda68818b484777b2aa90a5f877fbcd.jpg,https://bitis.com.vn/products/sandal-biti-s-be-gai-mau-tim-beg006800tim
1071926779,Sandal Biti's Bé Gái Màu Hồng BEG006800HOG,345000,Biti's,Sandal Thông Dụng,"kho:online,TRẺ EM,Giày dép,Sandal,BÉ GÁI,Sandal trẻ em,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/beg006800hog__5__84a200049efa4db0ad3103f0f48f9673.jpg,https://bitis.com.vn/products/sandal-biti-s-be-gai-mau-hong-beg006800hog
1071926772,Sandal Biti's Bé Gái Màu Đen BEG006800DEN,345000,Biti's,Sandal Thông Dụng,"kho:online,TRẺ EM,Giày dép,Sandal,BÉ GÁI,Sandal trẻ em,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/beg006800den__5__652641ee60324bb189478516495c523d.jpg,https://bitis.com.vn/products/sandal-biti-s-be-gai-mau-den-beg006800den
